datum;tag;warengruppe;name;kennz;preis;stud;bed;gast
15.01.2018;Mo;Suppe;Lauchcremesuppe (3,A,G,I,AA);V;0,70 / 0,90 / 1,40;0,70;0,90;1,40
15.01.2018;Mo;HG1;Gebratenes Gemüse mit Bio-Basmatireis (1,3,5,16);VG;2,00 / 2,80 / 3,60;2,00;2,80;3,60
15.01.2018;Mo;HG2;Tagliatelle in Steinpilzrahm (3,A,G,I,AA);V;2,80 / 3,40 / 4,40;2,80;3,40;4,40
15.01.2018;Mo;HG3;Biftekis Grichischer Art mit Beilage(3,6,16,C,G,I,J,AA));S,R;3,10 / 3,90 / 4,60;3,10;3,90;4,60
15.01.2018;Mo;HG4;Hähnchen-Kürbisschnitzel mit Pommes Frites (2,3,8,A,C,G,AA);G;3,10 / 3,90 / 4,60;3,10;3,90;4,60
15.01.2018;Mo;B1;Bio-Basmatireis;B,VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
15.01.2018;Mo;B2;Salatmix (3)Blaukraut (3,16,I)Weißkrautsalat Cole Slaw (3,9,C,G,J);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
15.01.2018;Mo;B3;Pommes Frites Wellenschnitt (8);VG;1,00 / 1,10 / 1,60;1,00;1,10;1,60
15.01.2018;Mo;B4;Kartoffelsalat (3,I,J);VG;1,00 / 1,10 / 1,60;1,00;1,10;1,60
15.01.2018;Mo;B5;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
15.01.2018;Mo;N1;Himbeerjoghurt (G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
15.01.2018;Mo;N2;Vanille Erdbeer Trifle (1,8,A,C,F,G);V;1,10 / 1,40 / 1,60;1,10;1,40;1,60
15.01.2018;Mo;N3;Dänisches Zitronen Fromage (1,3,F,G);V;1,10 / 1,40 / 1,60;1,10;1,40;1,60
16.01.2018;Di;Suppe;Leberspätzlesuppe (3,C,I,AA);S;0,70 / 0,90 / 1,40;0,70;0,90;1,40
16.01.2018;Di;HG1;Pikante Sesamnudeln mit asiatischem Pfannengemüse (3,A,F,I,K,AA);VG;2,00 / 2,80 / 3,60;2,00;2,80;3,60
16.01.2018;Di;HG2;Puten Salbei-Schnitzel mit Farfalle (3,A,G,AA);G;3,10 / 3,90 / 4,60;3,10;3,90;4,60
16.01.2018;Di;HG3;Wildburger mit Potatoe Dipers (2,3,8,16,A,G,AA);W,S;4,90 / 5,90 / 6,40;4,90;5,90;6,40
16.01.2018;Di;B1;Buttergemüse bayrisch (3,G,I);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
16.01.2018;Di;B2;Gemüsereis (3,I);VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
16.01.2018;Di;B3;Farfalle (A,AA);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
16.01.2018;Di;B4;Salatmix (3)Gurkencocktail (16,G)Sellerierohkost (3,G,H,I,HB);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
16.01.2018;Di;B5;Potato Dipers (1,8);V;1,00 / 1,10 / 1,60;1,00;1,10;1,60
16.01.2018;Di;B6;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
16.01.2018;Di;N1;Bananenjoghurt (3,G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
16.01.2018;Di;N2;Panna Cotta mit Fruchtspiegel (3,F,G);S;1,10 / 1,40 / 1,60;1,10;1,40;1,60
16.01.2018;Di;N3;Chocolat de Coco (F,G);V;1,10 / 1,40 / 1,60;1,10;1,40;1,60
17.01.2018;Mi;Suppe;Tomaten-Basilikum-Suppe (3,I,A,AA);R;0,70 / 0,90 / 1,40;0,70;0,90;1,40
17.01.2018;Mi;HG1;Pasta Penne Pomodore (1,3,A,G,AA);V;2,00 / 2,80 / 3,60;2,00;2,80;3,60
17.01.2018;Mi;HG2;Pute Elsässer Art mit Kartoffelpüree (2,3,8,A,C,G,I,AA);S,G;3,10 / 3,90 / 4,60;3,10;3,90;4,60
17.01.2018;Mi;HG3;Thailändisches Pad Thai (3,A,F,K);VG;4,10 / 5,10 / 5,60;4,10;5,10;5,60
17.01.2018;Mi;B1;Bio-Paprikareis (3);B,VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
17.01.2018;Mi;B2;Blumenkohlgemüse (3,A,I,AA);VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
17.01.2018;Mi;B3;Salatmix (3)Tomatensalat (3,16)Kohlrabirohkost (3,9,C,G,H,J,HB);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
17.01.2018;Mi;B4;Kartoffelgnocchi (3,A,C,AA);V;1,00 / 1,10 / 1,60;1,00;1,10;1,60
17.01.2018;Mi;B5;Risoleekartoffeln *VG;VG;1,00 / 1,10 / 1,60;1,00;1,10;1,60
17.01.2018;Mi;B6;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
17.01.2018;Mi;N1;Mango Joghurt (G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
17.01.2018;Mi;N2;Pudding Siciliana (1,G,H,HC);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
17.01.2018;Mi;N3;Erdbeer und Rote Johannisbeer Mousse (1,3,G);V;1,10 / 1,40 / 1,60;1,10;1,40;1,60
18.01.2018;Do;Suppe;Frühlingszwiebelsuppe (A,C,G,AA);R;0,70 / 0,90 / 1,40;0,70;0,90;1,40
18.01.2018;Do;HG1;Rösti mit Bohnen (3,I);V;2,00 / 2,80 / 3,60;2,00;2,80;3,60
18.01.2018;Do;HG2;Pilz Stroganoff mit Gemüse Pilaw (3,9,A,F,I,AA);VG;2,00 / 2,80 / 3,60;2,00;2,80;3,60
18.01.2018;Do;HG3;Hähnchenchnitzel (A,AA,L,G,I,3,5);G;2,80 / 3,40 / 4,40;2,80;3,40;4,40
18.01.2018;Do;HG4;Canneloni al Forno (1,3,A,G,C,I,AA);R/S;3,10 / 3,90 / 4,60;3,10;3,90;4,60
18.01.2018;Do;B1;Reis-Bandnudeln (A,C);V;0,70 / 0,90 / 1,40;0,70;0,90;1,40
18.01.2018;Do;B2;Bio-Reis;B,VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
18.01.2018;Do;B3;Chinesisches Wokgemüse (3,I);VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
18.01.2018;Do;B4;Salatmix  (3)Karottensalat mit Sonnenblumenkernen (16)Chinakohlsalat (3,16);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
18.01.2018;Do;B5;Schupfnudeln (3,A,C,I,AA);V;1,00 / 1,10 / 1,60;1,00;1,10;1,60
18.01.2018;Do;B6;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
18.01.2018;Do;N1;Preiselbeerquark (3,G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
18.01.2018;Do;N2;Pudding mit Vanillegeschmack (1,G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
18.01.2018;Do;N3;Marzipanmousse (1,F,G);V;1,10 / 1,40 / 1,60;1,10;1,40;1,60
19.01.2018;Fr;Suppe;Selleriecremesuppe (3,A,G,I,AA);V;0,70 / 0,90 / 1,40;0,70;0,90;1,40
19.01.2018;Fr;HG1;Quarktaler mit Zwetschgen (A,G,H,AA,HA);V;2,00 / 2,80 / 3,60;2,00;2,80;3,60
19.01.2018;Fr;HG2;Champignon-Bohnen-Ragout mit Bulgur (3,A,F,H,I);VG,MV;2,80 / 3,40 / 4,40;2,80;3,40;4,40
19.01.2018;Fr;HG3;Schlemmerfilet mit Gemüsereis (3,16,A,D,G,I,AA);F,A;3,10 / 3,90 / 4,60;3,10;3,90;4,60
19.01.2018;Fr;HG4;Putensteak mit Pfirsich, Truthahnschinken u. Käse überbacken(1,2,3,8,A,G,I,AA);G,S;3,90 / 4,90 / 5,40;3,90;4,90;5,40
19.01.2018;Fr;B1;Bio-Vollkornreis;B,VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
19.01.2018;Fr;B2;Mischgemüse(3,G,I);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
19.01.2018;Fr;B3;Salatmix (3)Isartaler Salat (3,16)RadischensalatSylter Dressing (G,J,L);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
19.01.2018;Fr;B4;Kartoffelsalat (3,I,J);VG;1,00 / 1,10 / 1,60;1,00;1,10;1,60
19.01.2018;Fr;B5;Mediterran Wedges*V (3,8,A,AA);;1,00 / 1,10 / 1,60;1,00;1,10;1,60
19.01.2018;Fr;B6;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
19.01.2018;Fr;N1;Ananasquark (3,G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
19.01.2018;Fr;N2;Schoko-Banane (G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
